Hostname,x,y,area statistica,zona di prossimità,geopoint,Attivo
Q.SStefano-E-Consiglio,11.3542950153,44.4853196828,GALVANI-2,GALVANI,"44.4853196828, 11.3542950153",Sì
ReEenzo-e-Extrabo1,11.343110203743,44.4945385268369,GALVANI-1,GALVANI,"44.4945385268369, 11.343110203743",Sì
ReEenzo-e-Extrabo2,11.3429921865463,44.4946112308987,GALVANI-1,GALVANI,"44.4946112308987, 11.3429921865463",Sì
Rimesse1-atrio,11.37307,44.49424,CIRENAICA,CIRENAICA - MASSARENTI - SCANDELLARA,"44.49424, 11.37307",Sì
Sottopasso-mostra-1,11.34343,44.49461,GALVANI-1,GALVANI,"44.49461, 11.34343",Sì
Sottopasso-mostra-2,11.34343,44.49461,GALVANI-1,GALVANI,"44.49461, 11.34343",Sì
Sottopasso-mostra-4,11.34343,44.49461,GALVANI-1,GALVANI,"44.49461, 11.34343",Sì
Sottopasso-mostra-7,11.34343,44.49461,GALVANI-1,GALVANI,"44.49461, 11.34343",Sì
tnervi-nordest,11.3403260707855,44.5109214347496,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.5109214347496, 11.3403260707855",Sì
tnervi-nordovest,11.3396340608597,44.5110017692869,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.5110017692869, 11.3396340608597",Sì
tnervi-sudest,11.3402509689331,44.5106153974027,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.5106153974027, 11.3402509689331",Sì
wifi-velostazione-corridoiosud,11.345320344,44.5035340096,IRNERIO-2,IRNERIO,"44.5035340096, 11.345320344",Sì
ap-lepida-8agosto-1,11.34479,44.49991,IRNERIO-2,IRNERIO,"44.49991, 11.34479",Sì
ap-lepida-aldrovandi-1,11.35175,44.49353,IRNERIO-1,IRNERIO,"44.49353, 11.35175",Sì
Archi-B-PGalvani,11.3432121277,44.4917642252,GALVANI-1,GALVANI,"44.4917642252, 11.3432121277",Sì
Archi-B-Stabat,11.3433945179,44.4915728892,GALVANI-1,GALVANI,"44.4915728892, 11.3433945179",Sì
Asinelli-CimaTorre,11.34671,44.49429,IRNERIO-1,IRNERIO,"44.49429, 11.34671",Sì
Asinelli-Ravegnana1,11.3468384742737,44.4942744955343,IRNERIO-1,IRNERIO,"44.4942744955343, 11.3468384742737",Sì
Bolognetti-B-SalaSilentium,11.3549441099,44.493666071,IRNERIO-2,IRNERIO,"44.493666071, 11.3549441099",Sì
Bolognetti-C-SalaConsiglio,11.3546919823,44.4937846952,IRNERIO-2,IRNERIO,"44.4937846952, 11.3546919823",Sì
BON-A01-Ovest,11.339951,44.509636,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.509636, 11.339951",Sì
