id,Quartiere,room_type,Prezzo,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,number_of_reviews_ltm,license,Zona di prossimità,Area statistica,Coordinate
10063362,Santo Stefano,Private room,75.0,1,62,2024-03-08,0.64,307,4,,IRNERIO,IRNERIO-2,"44.49244, 11.35471"
10327911,Porto - Saragozza,Private room,143.0,1,2,2019-08-06,0.03,34,0,,MALPIGHI,MARCONI-1,"44.49619, 11.34147"
10363306,San Donato - San Vitale,Private room,103.0,1,3,2019-04-14,0.04,86,0,,CIRENAICA - MASSARENTI - SCANDELLARA,MENGOLI,"44.48619, 11.37144"
10370772,San Donato - San Vitale,Private room,500.0,1,1,2022-04-25,0.04,365,0,037006-AF-00349,CIRENAICA - MASSARENTI - SCANDELLARA,GUELFA,"44.49148, 11.37662"
10401565,Navile,Private room,51.0,1,221,2024-03-15,2.21,265,13,037006-BB-00766,BOLOGNINA,PIAZZA DELL'UNITA',"44.51086, 11.34898"
10504362,Santo Stefano,Entire home/apt,156.0,3,48,2024-03-19,0.53,240,5,,IRNERIO,IRNERIO-2,"44.49994, 11.34929"
10740672,Borgo Panigale - Reno,Entire home/apt,157.0,1,49,2024-03-10,0.5,31,1,CIR (Codice Identificativo di Riferimento) associato alla struttura è 037006-CV-00520,CASTELDEBOLE - PONTELUNGO,TRIUMVIRATO-PIETRA,"44.51471, 11.28496"
10764456,Santo Stefano,Entire home/apt,76.0,1,343,2024-03-19,3.47,242,23,,GALVANI,GALVANI-2,"44.48836517333984, 11.349175453186035"
10833448,Porto - Saragozza,Entire home/apt,120.0,2,18,2022-05-06,0.29,66,0,,MALPIGHI,MALPIGHI-1,"44.49295, 11.34192"
10833507,Santo Stefano,Entire home/apt,122.0,2,128,2024-01-22,1.3,86,8,,IRNERIO,IRNERIO-1,"44.49483, 11.34532"
10897522,Porto - Saragozza,Private room,80.0,2,16,2023-09-24,0.17,351,3,,MARCONI,MARCONI-2,"44.49936, 11.33326"
10977756,Porto - Saragozza,Entire home/apt,113.0,2,139,2023-10-29,1.41,341,8,,MARCONI,MARCONI-2,"44.49984, 11.343"
11130224,Santo Stefano,Entire home/apt,97.0,3,330,2024-02-12,3.34,211,47,,IRNERIO,IRNERIO-2,"44.49861, 11.35078"
11217891,Savena,Entire home/apt,65.0,2,43,2024-03-13,1.59,142,20,U06978,VIA TOSCANA - S. RUFFILLO - MONTE DONATO,MONTE DONATO,"44.46145, 11.35807"
11462808,Porto - Saragozza,Entire home/apt,230.0,1,33,2024-03-17,0.66,280,15,037006-BB-00277,MALPIGHI,MALPIGHI-2,"44.49662, 11.32933"
11650202,Porto - Saragozza,Entire home/apt,82.0,2,7,2024-03-21,4.77,80,7,,MALPIGHI,MALPIGHI-2,"44.4942176, 11.3316165"
11652359,Santo Stefano,Entire home/apt,200.0,3,20,2022-12-12,0.21,3,0,,GALVANI,GALVANI-1,"44.4938657248606, 11.344427523625486"
12096498,Santo Stefano,Entire home/apt,54.0,2,386,2024-03-20,3.98,35,46,,GALVANI,GALVANI-2,"44.48872, 11.35457"
12131526,Navile,Entire home/apt,91.0,1,293,2024-01-01,3.37,274,21,,BOLOGNINA,ARCOVEGGIO,"44.51795, 11.34155"
12245999,Santo Stefano,Entire home/apt,154.0,2,44,2023-07-03,0.46,352,7,,IRNERIO,IRNERIO-1,"44.49515, 11.34963"
12583558,Porto - Saragozza,Entire home/apt,99.0,1,41,2023-10-24,0.45,218,4,,MALPIGHI,MALPIGHI-2,"44.49139, 11.33461"
12625636,Santo Stefano,Entire home/apt,55.0,1,49,2017-01-15,0.51,0,0,,IRNERIO,IRNERIO-2,"44.49894, 11.35197"
