Geo Point;Geo Shape;Tipo di arredo;Data Aggiornamento;quartiere;area statistica;zona prossimita;Stato di conservazione
44.48766776401413, 11.375420654826948;"{""coordinates"": [11.375420654826948, 44.48766776401413], ""type"": ""Point""}";Altro;2013-11-25;San Donato - San Vitale;MENGOLI;CIRENAICA - MASSARENTI - SCANDELLARA;DISCRETO
44.51388668271357, 11.333504707483657;"{""coordinates"": [11.333504707483657, 44.51388668271357], ""type"": ""Point""}";Cestino in metallo;2014-02-13;Navile;EX MERCATO ORTOFRUTTICOLO;BOLOGNINA;BUONO
44.513826075503445, 11.333471636557155;"{""coordinates"": [11.333471636557155, 44.513826075503445], ""type"": ""Point""}";Bacheche informative;2019-07-01;Navile;EX MERCATO ORTOFRUTTICOLO;BOLOGNINA;BUONO
44.49214083281069, 11.389295530017927;"{""coordinates"": [11.389295530017927, 44.49214083281069], ""type"": ""Point""}";Tabelle (monitorie e indicative);2014-03-05;San Donato - San Vitale;GUELFA;CIRENAICA - MASSARENTI - SCANDELLARA;BUONO
44.49232162734317, 11.388861514136103;"{""coordinates"": [11.388861514136103, 44.49232162734317], ""type"": ""Point""}";Cestino in metallo;2014-03-05;San Donato - San Vitale;GUELFA;CIRENAICA - MASSARENTI - SCANDELLARA;BUONO
44.541102828283364, 11.354313000296528;"{""coordinates"": [11.354313000296528, 44.541102828283364], ""type"": ""Point""}";Tabelle (monitorie e indicative);2014-03-19;Navile;CROCE COPERTA;CORTICELLA - DOZZA;BUONO
44.54111523824588, 11.354361299653892;"{""coordinates"": [11.354361299653892, 44.54111523824588], ""type"": ""Point""}";Dissuasore;2019-11-06;Navile;CROCE COPERTA;CORTICELLA - DOZZA;BUONO
44.54024915050258, 11.354832652219212;"{""coordinates"": [11.354832652219212, 44.54024915050258], ""type"": ""Point""}";Cestone;2014-03-19;Navile;CROCE COPERTA;CORTICELLA - DOZZA;BUONO
44.540227083692876, 11.353938642001216;"{""coordinates"": [11.353938642001216, 44.540227083692876], ""type"": ""Point""}";Bacheche informative;2014-03-19;Navile;CROCE COPERTA;CORTICELLA - DOZZA;BUONO
44.540072835370516, 11.354031119316627;"{""coordinates"": [11.354031119316627, 44.540072835370516], ""type"": ""Point""}";Cestino in metallo;2014-03-20;Navile;CROCE COPERTA;CORTICELLA - DOZZA;BUONO
44.53999291685465, 11.354092118569815;"{""coordinates"": [11.354092118569815, 44.53999291685465], ""type"": ""Point""}";Cestino in metallo;2014-03-23;Navile;CROCE COPERTA;CORTICELLA - DOZZA;BUONO
44.504715887067974, 11.280721905175337;"{""coordinates"": [11.280721905175337, 44.504715887067974], ""type"": ""Point""}";Cestino in metallo;2014-05-14;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;BUONO
44.50761128165265, 11.280655991440216;"{""coordinates"": [11.280655991440216, 44.50761128165265], ""type"": ""Point""}";Panchina più tavolo;2014-05-14;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;BUONO
44.50789703152022, 11.28181529464514;"{""coordinates"": [11.28181529464514, 44.50789703152022], ""type"": ""Point""}";Cestino in metallo;2014-05-13;Borgo Panigale - Reno;TRIUMVIRATO-PIETRA;CASTELDEBOLE - PONTELUNGO;BUONO
44.513952071590815, 11.355139969348517;"{""coordinates"": [11.355139969348517, 44.513952071590815], ""type"": ""Point""}";Panchina in legno e metallo;2014-06-18;Navile;VIA FERRARESE;BOLOGNINA;BUONO
44.51375016556475, 11.355472772115565;"{""coordinates"": [11.355472772115565, 44.51375016556475], ""type"": ""Point""}";Portabici;2014-06-18;Navile;VIA FERRARESE;BOLOGNINA;BUONO
44.51374623832185, 11.355569644836205;"{""coordinates"": [11.355569644836205, 44.51374623832185], ""type"": ""Point""}";Panchina in legno e metallo;2014-06-18;Navile;VIA FERRARESE;BOLOGNINA;BUONO
44.51246588932179, 11.35621342248049;"{""coordinates"": [11.35621342248049, 44.51246588932179], ""type"": ""Point""}";Portabici;2014-06-18;Navile;VIA FERRARESE;BOLOGNINA;BUONO
44.512038212709975, 11.355208882770503;"{""coordinates"": [11.355208882770503, 44.512038212709975], ""type"": ""Point""}";Panchina in legno e metallo;2014-06-18;Navile;VIA FERRARESE;BOLOGNINA;BUONO
44.51204184378476, 11.355161906274946;"{""coordinates"": [11.355161906274946, 44.51204184378476], ""type"": ""Point""}";Panchina in legno e metallo;2014-06-18;Navile;VIA FERRARESE;BOLOGNINA;BUONO
44.51168976408345, 11.354593411511239;"{""coordinates"": [11.354593411511239, 44.51168976408345], ""type"": ""Point""}";Panchina in legno e metallo;2014-06-18;Navile;VIA FERRARESE;BOLOGNINA;BUONO
44.5116341308257, 11.354623412297348;"{""coordinates"": [11.354623412297348, 44.5116341308257], ""type"": ""Point""}";Panchina in legno e metallo;2014-06-18;Navile;VIA FERRARESE;BOLOGNINA;BUONO
44.50962518430326, 11.358162880569518;"{""coordinates"": [11.358162880569518, 44.50962518430326], ""type"": ""Point""}";Panchina in legno e metallo;2014-06-18;San Donato - San Vitale;VIA DEL LAVORO;SAN DONATO VECCHIO;BUONO
44.506876438699756, 11.359954808971628;"{""coordinates"": [11.359954808971628, 44.506876438699756], ""type"": ""Point""}";Panchina in legno e metallo;2014-06-18;San Donato - San Vitale;VIA DEL LAVORO;SAN DONATO VECCHIO;BUONO
44.49481070983273, 11.300174797775993;"{""coordinates"": [11.300174797775993, 44.49481070983273], ""type"": ""Point""}";Portabici;2017-07-20;Borgo Panigale - Reno;CANALE DI RENO;BARCA;BUONO
44.49429414195142, 11.299158956483584;"{""coordinates"": [11.299158956483584, 44.49429414195142], ""type"": ""Point""}";Panchina in legno e metallo;2014-07-20;Borgo Panigale - Reno;CANALE DI RENO;BARCA;BUONO
44.49434470735194, 11.299211257986284;"{""coordinates"": [11.299211257986284, 44.49434470735194], ""type"": ""Point""}";Cestino in metallo;2014-07-20;Borgo Panigale - Reno;CANALE DI RENO;BARCA;BUONO
44.49444250147193, 11.299091894156499;"{""coordinates"": [11.299091894156499, 44.49444250147193], ""type"": ""Point""}";Panchina in legno e metallo;2014-07-20;Borgo Panigale - Reno;CANALE DI RENO;BARCA;BUONO
