Geo Point;Geo Shape;Tipo di arredo;Data Aggiornamento;quartiere;area statistica;zona prossimita;Stato di conservazione
44.46328060196947, 11.372629575275166;"{""coordinates"": [11.372629575275166, 44.46328060196947], ""type"": ""Point""}";Cestino in metallo;2012-03-06;Savena;VIA TOSCANA;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;BUONO
44.46303001875598, 11.372532343081993;"{""coordinates"": [11.372532343081993, 44.46303001875598], ""type"": ""Point""}";Panchina in legno e metallo;2012-03-06;Savena;VIA TOSCANA;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;BUONO
44.46319603787174, 11.37259638761116;"{""coordinates"": [11.37259638761116, 44.46319603787174], ""type"": ""Point""}";Panchina in legno e metallo;2012-03-06;Savena;VIA TOSCANA;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;BUONO
44.46323988592404, 11.372613596016967;"{""coordinates"": [11.372613596016967, 44.46323988592404], ""type"": ""Point""}";Panchina in legno e metallo;2012-03-06;Savena;VIA TOSCANA;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;BUONO
44.534619474836255, 11.352786280595925;"{""coordinates"": [11.352786280595925, 44.534619474836255], ""type"": ""Point""}";Cestino in metallo;2012-03-07;Navile;CROCE COPERTA;CORTICELLA - DOZZA;BUONO
44.500160068457134, 11.336584181348053;"{""coordinates"": [11.336584181348053, 44.500160068457134], ""type"": ""Point""}";Tabelle (monitorie e indicative);2012-04-25;Porto - Saragozza;MARCONI-2;MARCONI;BUONO
44.49912640093224, 11.336798837734932;"{""coordinates"": [11.336798837734932, 44.49912640093224], ""type"": ""Point""}";Tabelle (monitorie e indicative);2012-04-25;Porto - Saragozza;MARCONI-2;MARCONI;BUONO
44.499394894840556, 11.336207954375892;"{""coordinates"": [11.336207954375892, 44.499394894840556], ""type"": ""Point""}";Panchina in legno e metallo;2012-06-23;Porto - Saragozza;MARCONI-2;MARCONI;BUONO
44.499451819442726, 11.290917640563588;"{""coordinates"": [11.290917640563588, 44.499451819442726], ""type"": ""Point""}";Dissuasore;2012-05-03;Borgo Panigale - Reno;BATTINDARNO;BARCA;BUONO
44.491731189397136, 11.275266655048455;"{""coordinates"": [11.275266655048455, 44.491731189397136], ""type"": ""Point""}";Cestino in metallo;2012-06-04;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;BUONO
44.491798135985135, 11.275464058877049;"{""coordinates"": [11.275464058877049, 44.491798135985135], ""type"": ""Point""}";Cestino in metallo;2012-06-04;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;BUONO
44.49185895353035, 11.275677458085049;"{""coordinates"": [11.275677458085049, 44.49185895353035], ""type"": ""Point""}";Cestino in metallo;2012-06-04;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;BUONO
44.51164291436275, 11.346803073932671;"{""coordinates"": [11.346803073932671, 44.51164291436275], ""type"": ""Point""}";Panchina in legno e metallo;2012-06-20;Navile;PIAZZA DELL'UNITA';BOLOGNINA;BUONO
44.511397289486254, 11.346744244682;"{""coordinates"": [11.346744244682, 44.511397289486254], ""type"": ""Point""}";Panchina in legno e metallo;2012-06-20;Navile;PIAZZA DELL'UNITA';BOLOGNINA;BUONO
44.51130346261007, 11.346725243429933;"{""coordinates"": [11.346725243429933, 44.51130346261007], ""type"": ""Point""}";Panchina in legno e metallo;2012-06-20;Navile;PIAZZA DELL'UNITA';BOLOGNINA;BUONO
44.5114685742631, 11.347367372928051;"{""coordinates"": [11.347367372928051, 44.5114685742631], ""type"": ""Point""}";Panchina in legno e metallo;2012-06-20;Navile;PIAZZA DELL'UNITA';BOLOGNINA;BUONO
44.511554442021065, 11.347394761175604;"{""coordinates"": [11.347394761175604, 44.511554442021065], ""type"": ""Point""}";Panchina in legno e metallo;2012-06-20;Navile;PIAZZA DELL'UNITA';BOLOGNINA;BUONO
44.511744849847695, 11.347450287764449;"{""coordinates"": [11.347450287764449, 44.511744849847695], ""type"": ""Point""}";Panchina in legno e metallo;2012-06-20;Navile;PIAZZA DELL'UNITA';BOLOGNINA;BUONO
44.511863673560995, 11.34678364363039;"{""coordinates"": [11.34678364363039, 44.511863673560995], ""type"": ""Point""}";Panchina in legno e metallo;2012-06-20;Navile;PIAZZA DELL'UNITA';BOLOGNINA;BUONO
44.51184506826269, 11.346779632112998;"{""coordinates"": [11.346779632112998, 44.51184506826269], ""type"": ""Point""}";Panchina in legno e metallo;2012-06-20;Navile;PIAZZA DELL'UNITA';BOLOGNINA;BUONO
44.511793965152634, 11.346765610391493;"{""coordinates"": [11.346765610391493, 44.511793965152634], ""type"": ""Point""}";Panchina in legno e metallo;2012-06-20;Navile;PIAZZA DELL'UNITA';BOLOGNINA;BUONO
44.5146660289491, 11.276817407388103;"{""coordinates"": [11.276817407388103, 44.5146660289491], ""type"": ""Point""}";Altro;2012-07-18;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.507553314130625, 11.288209451659764;"{""coordinates"": [11.288209451659764, 44.507553314130625], ""type"": ""Point""}";Tabelle (monitorie e indicative);2012-08-01;Borgo Panigale - Reno;TRIUMVIRATO-PIETRA;CASTELDEBOLE - PONTELUNGO;BUONO
44.50089050386549, 11.281773750178669;"{""coordinates"": [11.281773750178669, 44.50089050386549], ""type"": ""Point""}";Tabelle (monitorie e indicative);2012-08-01;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;BUONO
44.521306602521186, 11.31959371574905;"{""coordinates"": [11.31959371574905, 44.521306602521186], ""type"": ""Point""}";Cestone;2012-08-29;Navile;PESCAROLA;BERTALIA - NOCE;BUONO
44.521435200261394, 11.319643200396452;"{""coordinates"": [11.319643200396452, 44.521435200261394], ""type"": ""Point""}";Panchina più tavolo;2012-08-29;Navile;PESCAROLA;BERTALIA - NOCE;BUONO
44.52164098900778, 11.31927263464264;"{""coordinates"": [11.31927263464264, 44.52164098900778], ""type"": ""Point""}";Panchina in legno e metallo;2012-08-29;Navile;PESCAROLA;BERTALIA - NOCE;BUONO
44.521659535609736, 11.31922426973808;"{""coordinates"": [11.31922426973808, 44.521659535609736], ""type"": ""Point""}";Panchina in legno e metallo;2012-08-29;Navile;PESCAROLA;BERTALIA - NOCE;BUONO
44.521724173067824, 11.319047966956637;"{""coordinates"": [11.319047966956637, 44.521724173067824], ""type"": ""Point""}";Panchina in legno e metallo;2012-08-29;Navile;PESCAROLA;BERTALIA - NOCE;BUONO
44.5211150311437, 11.318975074266156;"{""coordinates"": [11.318975074266156, 44.5211150311437], ""type"": ""Point""}";Panchina in legno e metallo;2021-06-17;Navile;PESCAROLA;BERTALIA - NOCE;BUONO
44.52146196279373, 11.32030366118847;"{""coordinates"": [11.32030366118847, 44.52146196279373], ""type"": ""Point""}";Panchina in legno e metallo;2012-08-29;Navile;PESCAROLA;BERTALIA - NOCE;BUONO
44.52135089838117, 11.320212740432398;"{""coordinates"": [11.320212740432398, 44.52135089838117], ""type"": ""Point""}";Panchina in legno e metallo;2021-08-29;Navile;PESCAROLA;BERTALIA - NOCE;BUONO
44.52158662700369, 11.320358150484054;"{""coordinates"": [11.320358150484054, 44.52158662700369], ""type"": ""Point""}";Seduta in cemento o altro;2012-08-29;Navile;PESCAROLA;BERTALIA - NOCE;BUONO
44.50665863096587, 11.282002774465084;"{""coordinates"": [11.282002774465084, 44.50665863096587], ""type"": ""Point""}";Cestino in metallo;2012-08-27;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;BUONO
44.505809860719104, 11.281816332802517;"{""coordinates"": [11.281816332802517, 44.505809860719104], ""type"": ""Point""}";Cestino in metallo;2012-08-27;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;BUONO
44.50641252455543, 11.280852307771479;"{""coordinates"": [11.280852307771479, 44.50641252455543], ""type"": ""Point""}";Cestino in metallo;2012-08-27;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;BUONO
44.50656329694594, 11.280563042010272;"{""coordinates"": [11.280563042010272, 44.50656329694594], ""type"": ""Point""}";Cestino in metallo;2012-08-27;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;BUONO
44.5067174993552, 11.280845060097835;"{""coordinates"": [11.280845060097835, 44.5067174993552], ""type"": ""Point""}";Cestino in metallo;2012-08-27;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;BUONO
44.5070067208443, 11.281797630655987;"{""coordinates"": [11.281797630655987, 44.5070067208443], ""type"": ""Point""}";Cestino in metallo;2012-08-27;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;BUONO
44.50593346120935, 11.28168714496209;"{""coordinates"": [11.28168714496209, 44.50593346120935], ""type"": ""Point""}";Panchina in legno e metallo;2012-08-27;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;BUONO
44.50647916276266, 11.280888410479422;"{""coordinates"": [11.280888410479422, 44.50647916276266], ""type"": ""Point""}";Panchina in legno e metallo;2012-08-27;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;BUONO
44.506576671853125, 11.280865092702557;"{""coordinates"": [11.280865092702557, 44.506576671853125], ""type"": ""Point""}";Panchina in legno e metallo;2012-08-27;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;BUONO
44.50658123679374, 11.280522261569743;"{""coordinates"": [11.280522261569743, 44.50658123679374], ""type"": ""Point""}";Tabelle (monitorie e indicative);2012-08-27;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;BUONO
44.5057959861507, 11.28176793023606;"{""coordinates"": [11.28176793023606, 44.5057959861507], ""type"": ""Point""}";Tabelle (monitorie e indicative);2012-08-27;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;BUONO
44.482497020107374, 11.340844666681367;"{""coordinates"": [11.340844666681367, 44.482497020107374], ""type"": ""Point""}";Cestino in metallo;2012-09-23;Santo Stefano;SAN MICHELE IN BOSCO;OSSERVANZA - PADERNO;BUONO
44.48209292521121, 11.340138722869368;"{""coordinates"": [11.340138722869368, 44.48209292521121], ""type"": ""Point""}";Cestino in metallo;2012-09-23;Santo Stefano;SAN MICHELE IN BOSCO;OSSERVANZA - PADERNO;BUONO
44.48200429660383, 11.341039582522694;"{""coordinates"": [11.341039582522694, 44.48200429660383], ""type"": ""Point""}";Cestino in metallo;2012-09-23;Santo Stefano;SAN MICHELE IN BOSCO;OSSERVANZA - PADERNO;BUONO
44.4815658605172, 11.343507224917243;"{""coordinates"": [11.343507224917243, 44.4815658605172], ""type"": ""Point""}";Panchina in legno e metallo;2012-09-19;Santo Stefano;SAN MICHELE IN BOSCO;OSSERVANZA - PADERNO;DISCRETO
44.48171226284762, 11.343559436188169;"{""coordinates"": [11.343559436188169, 44.48171226284762], ""type"": ""Point""}";Panchina in legno e metallo;2012-09-19;Santo Stefano;SAN MICHELE IN BOSCO;OSSERVANZA - PADERNO;DISCRETO
44.4822917389689, 11.343416004657634;"{""coordinates"": [11.343416004657634, 44.4822917389689], ""type"": ""Point""}";Panchina in legno e metallo;2012-09-19;Santo Stefano;SAN MICHELE IN BOSCO;OSSERVANZA - PADERNO;BUONO
44.482352231597645, 11.343432589316953;"{""coordinates"": [11.343432589316953, 44.482352231597645], ""type"": ""Point""}";Panchina in legno e metallo;2012-09-19;Santo Stefano;SAN MICHELE IN BOSCO;OSSERVANZA - PADERNO;BUONO
44.482556249179325, 11.342410007305267;"{""coordinates"": [11.342410007305267, 44.482556249179325], ""type"": ""Point""}";Panchina in legno e metallo;2012-09-26;Santo Stefano;SAN MICHELE IN BOSCO;OSSERVANZA - PADERNO;BUONO
44.48234188687819, 11.342194005644176;"{""coordinates"": [11.342194005644176, 44.48234188687819], ""type"": ""Point""}";Cestino in metallo;2012-09-26;Santo Stefano;SAN MICHELE IN BOSCO;OSSERVANZA - PADERNO;BUONO
44.48237251281411, 11.342125723452666;"{""coordinates"": [11.342125723452666, 44.48237251281411], ""type"": ""Point""}";Bacheche informative;2012-09-26;Santo Stefano;SAN MICHELE IN BOSCO;OSSERVANZA - PADERNO;BUONO
44.48091346773033, 11.343320035766924;"{""coordinates"": [11.343320035766924, 44.48091346773033], ""type"": ""Point""}";Tabelle (monitorie e indicative);2012-09-26;Santo Stefano;SAN MICHELE IN BOSCO;OSSERVANZA - PADERNO;BUONO
44.48334645389557, 11.342012588840854;"{""coordinates"": [11.342012588840854, 44.48334645389557], ""type"": ""Point""}";Cestino in metallo;2012-09-26;Santo Stefano;SAN MICHELE IN BOSCO;OSSERVANZA - PADERNO;BUONO
44.48271790098769, 11.34117224318138;"{""coordinates"": [11.34117224318138, 44.48271790098769], ""type"": ""Point""}";Cestino in metallo;2012-09-26;Santo Stefano;SAN MICHELE IN BOSCO;OSSERVANZA - PADERNO;BUONO
44.533566807816015, 11.27181138823104;"{""coordinates"": [11.27181138823104, 44.533566807816015], ""type"": ""Point""}";Cestino in metallo;2012-09-15;Borgo Panigale - Reno;BARGELLINO;BIRRA - BARGELLINO - LAVINO;BUONO
44.533564213098664, 11.271996933197899;"{""coordinates"": [11.271996933197899, 44.533564213098664], ""type"": ""Point""}";Cestino in metallo;2012-09-15;Borgo Panigale - Reno;BARGELLINO;BIRRA - BARGELLINO - LAVINO;BUONO
44.53356293846843, 11.271840388750283;"{""coordinates"": [11.271840388750283, 44.53356293846843], ""type"": ""Point""}";Panchina in legno e metallo;2012-09-15;Borgo Panigale - Reno;BARGELLINO;BIRRA - BARGELLINO - LAVINO;BUONO
44.533712232273324, 11.271617589323085;"{""coordinates"": [11.271617589323085, 44.533712232273324], ""type"": ""Point""}";Panchina in legno e metallo;2012-09-15;Borgo Panigale - Reno;BARGELLINO;BIRRA - BARGELLINO - LAVINO;BUONO
44.498393433749605, 11.390277210780246;"{""coordinates"": [11.390277210780246, 44.498393433749605], ""type"": ""Point""}";Panchina in legno e metallo;2012-10-25;San Donato - San Vitale;VIA LARGA;CIRENAICA - MASSARENTI - SCANDELLARA;DISCRETO
44.5181921131946, 11.273338737044638;"{""coordinates"": [11.273338737044638, 44.5181921131946], ""type"": ""Point""}";Tabelle (monitorie e indicative);2012-10-25;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;
44.518988831285974, 11.27333567131518;"{""coordinates"": [11.27333567131518, 44.518988831285974], ""type"": ""Point""}";Tabelle (monitorie e indicative);2012-10-25;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;
44.51669748214906, 11.279910348846702;"{""coordinates"": [11.279910348846702, 44.51669748214906], ""type"": ""Point""}";Cestino in metallo;2012-11-08;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.516759590548446, 11.279766304922484;"{""coordinates"": [11.279766304922484, 44.516759590548446], ""type"": ""Point""}";Panchina in legno e metallo;2012-11-08;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.516752784675, 11.279787691043957;"{""coordinates"": [11.279787691043957, 44.516752784675], ""type"": ""Point""}";Panchina in legno e metallo;2012-11-08;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.50895440173483, 11.360230276181435;"{""coordinates"": [11.360230276181435, 44.50895440173483], ""type"": ""Point""}";Panchina in legno e metallo;2012-11-08;San Donato - San Vitale;VIA DEL LAVORO;SAN DONATO VECCHIO;BUONO
44.50984021975804, 11.359971948916495;"{""coordinates"": [11.359971948916495, 44.50984021975804], ""type"": ""Point""}";Panchina in legno e metallo;2012-11-08;San Donato - San Vitale;VIA DEL LAVORO;SAN DONATO VECCHIO;BUONO
44.51240260902055, 11.38873594164467;"{""coordinates"": [11.38873594164467, 44.51240260902055], ""type"": ""Point""}";Cestino in metallo;2012-11-18;San Donato - San Vitale;PILASTRO;SAN DONATO NUOVO;BUONO
44.513336786994415, 11.399201716498416;"{""coordinates"": [11.399201716498416, 44.513336786994415], ""type"": ""Point""}";Panchina in legno e metallo;2012-11-18;San Donato - San Vitale;PILASTRO;SAN DONATO NUOVO;BUONO
44.547707571472294, 11.362789024085416;"{""coordinates"": [11.362789024085416, 44.547707571472294], ""type"": ""Point""}";Bacheche informative;2012-12-04;Navile;SAN SAVINO;CORTICELLA - DOZZA;BUONO
44.482130821723814, 11.349187584347796;"{""coordinates"": [11.349187584347796, 44.482130821723814], ""type"": ""Point""}";Tabelle (monitorie e indicative);2012-12-05;Santo Stefano;GIARDINI MARGHERITA;MURRI;BUONO
44.48088427978644, 11.356074829696778;"{""coordinates"": [11.356074829696778, 44.48088427978644], ""type"": ""Point""}";Tabelle (monitorie e indicative);2012-12-05;Santo Stefano;GIARDINI MARGHERITA;MURRI;BUONO
44.45947098516465, 11.37561767168675;"{""coordinates"": [11.37561767168675, 44.45947098516465], ""type"": ""Point""}";Bacheche informative;2012-12-05;Savena;CORELLI;LUNGO SAVENA;BUONO
44.49070110176997, 11.321253475652062;"{""coordinates"": [11.321253475652062, 44.49070110176997], ""type"": ""Point""}";Tabelle (monitorie e indicative);2012-12-17;Porto - Saragozza;XXI APRILE;SARAGOZZA - SAN LUCA;BUONO
44.490780858285135, 11.32104654762207;"{""coordinates"": [11.32104654762207, 44.490780858285135], ""type"": ""Point""}";Cestino in metallo;2012-12-17;Porto - Saragozza;XXI APRILE;SARAGOZZA - SAN LUCA;BUONO
44.485073365029585, 11.38312687061515;"{""coordinates"": [11.38312687061515, 44.485073365029585], ""type"": ""Point""}";Tabelle (monitorie e indicative);2013-01-14;Savena;FOSSOLO;FOSSOLO - DUE MADONNE;DISCRETO
44.48672739904114, 11.383916329142894;"{""coordinates"": [11.383916329142894, 44.48672739904114], ""type"": ""Point""}";Tabelle (monitorie e indicative);2013-01-24;Savena;FOSSOLO;FOSSOLO - DUE MADONNE;BUONO
44.49065029114591, 11.330042629551249;"{""coordinates"": [11.330042629551249, 44.49065029114591], ""type"": ""Point""}";Portabici;2013-01-23;Porto - Saragozza;MALPIGHI-2;MALPIGHI;BUONO
44.48278958981281, 11.355313362844374;"{""coordinates"": [11.355313362844374, 44.48278958981281], ""type"": ""Point""}";Tabelle (monitorie e indicative);2013-01-29;Santo Stefano;GIARDINI MARGHERITA;MURRI;BUONO
44.48592756062212, 11.374649139606166;"{""coordinates"": [11.374649139606166, 44.48592756062212], ""type"": ""Point""}";Panchina in legno e metallo;2013-02-04;San Donato - San Vitale;MENGOLI;CIRENAICA - MASSARENTI - SCANDELLARA;BUONO
44.48586275818345, 11.374873764927903;"{""coordinates"": [11.374873764927903, 44.48586275818345], ""type"": ""Point""}";Panchina in legno e metallo;2021-08-11;San Donato - San Vitale;MENGOLI;CIRENAICA - MASSARENTI - SCANDELLARA;BUONO
44.485828536496726, 11.375212725800443;"{""coordinates"": [11.375212725800443, 44.485828536496726], ""type"": ""Point""}";Panchina in legno e metallo;2021-08-11;San Donato - San Vitale;MENGOLI;CIRENAICA - MASSARENTI - SCANDELLARA;BUONO
44.48583921934673, 11.375535781721842;"{""coordinates"": [11.375535781721842, 44.48583921934673], ""type"": ""Point""}";Panchina in legno e metallo;2013-02-04;San Donato - San Vitale;MENGOLI;CIRENAICA - MASSARENTI - SCANDELLARA;BUONO
44.48570271670533, 11.375456724079422;"{""coordinates"": [11.375456724079422, 44.48570271670533], ""type"": ""Point""}";Panchina in legno e metallo;2013-02-04;San Donato - San Vitale;MENGOLI;CIRENAICA - MASSARENTI - SCANDELLARA;BUONO
44.4856817178654, 11.37507268860799;"{""coordinates"": [11.37507268860799, 44.4856817178654], ""type"": ""Point""}";Panchina in legno e metallo;2021-08-11;San Donato - San Vitale;MENGOLI;CIRENAICA - MASSARENTI - SCANDELLARA;BUONO
44.48581399266139, 11.375444011729979;"{""coordinates"": [11.375444011729979, 44.48581399266139], ""type"": ""Point""}";Cestino in metallo;2013-02-04;San Donato - San Vitale;MENGOLI;CIRENAICA - MASSARENTI - SCANDELLARA;BUONO
44.47701027869462, 11.384395377554185;"{""coordinates"": [11.384395377554185, 44.47701027869462], ""type"": ""Point""}";Portabici;2013-02-14;Savena;BITONE;PONTEVECCHIO - MAZZINI;BUONO
44.47062874456486, 11.373128193351329;"{""coordinates"": [11.373128193351329, 44.47062874456486], ""type"": ""Point""}";Panchina in legno e metallo;2013-02-28;Savena;VIA TOSCANA;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;BUONO
44.508307621236696, 11.278751360195278;"{""coordinates"": [11.278751360195278, 44.508307621236696], ""type"": ""Point""}";Tabelle (monitorie e indicative);2013-04-25;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;BUONO
44.50829732609809, 11.278823903601232;"{""coordinates"": [11.278823903601232, 44.50829732609809], ""type"": ""Point""}";Tabelle (monitorie e indicative);2013-04-25;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;BUONO
44.50144390309199, 11.388430175094202;"{""coordinates"": [11.388430175094202, 44.50144390309199], ""type"": ""Point""}";Tabelle (monitorie e indicative);2013-05-14;San Donato - San Vitale;VIA LARGA;CIRENAICA - MASSARENTI - SCANDELLARA;BUONO
44.49333155207165, 11.311316913891803;"{""coordinates"": [11.311316913891803, 44.49333155207165], ""type"": ""Point""}";Panchina in legno e metallo;2013-06-02;Porto - Saragozza;XXI APRILE;SARAGOZZA - SAN LUCA;BUONO
44.51038438949782, 11.330685464987297;"{""coordinates"": [11.330685464987297, 44.51038438949782], ""type"": ""Point""}";Panchine di altro tipo;2013-05-28;Navile;BEVERARA;BEVERARA;BUONO
44.510049979627524, 11.33117005556069;"{""coordinates"": [11.33117005556069, 44.510049979627524], ""type"": ""Point""}";Panchina in legno e metallo;2013-05-28;Navile;BEVERARA;BEVERARA;BUONO
44.510249846861726, 11.330583626155192;"{""coordinates"": [11.330583626155192, 44.510249846861726], ""type"": ""Point""}";Panchina in legno e metallo;2013-05-28;Navile;BEVERARA;BEVERARA;BUONO
44.51017579822818, 11.330822352675682;"{""coordinates"": [11.330822352675682, 44.51017579822818], ""type"": ""Point""}";Panchina in legno e metallo;2013-05-28;Navile;BEVERARA;BEVERARA;BUONO
44.51010220090386, 11.330993165396661;"{""coordinates"": [11.330993165396661, 44.51010220090386], ""type"": ""Point""}";Panchina in legno e metallo;2013-05-28;Navile;BEVERARA;BEVERARA;BUONO
44.50981711065709, 11.331175139619361;"{""coordinates"": [11.331175139619361, 44.50981711065709], ""type"": ""Point""}";Panchina in legno e metallo;2013-05-28;Navile;BEVERARA;BEVERARA;BUONO
44.50981001504401, 11.331293735665671;"{""coordinates"": [11.331293735665671, 44.50981001504401], ""type"": ""Point""}";Panchina in legno e metallo;2013-05-28;Navile;BEVERARA;BEVERARA;BUONO
44.51515214451319, 11.331954097340303;"{""coordinates"": [11.331954097340303, 44.51515214451319], ""type"": ""Point""}";Panchina più tavolo;2013-06-26;Navile;BEVERARA;BEVERARA;DISCRETO
44.46892637455142, 11.369531818209783;"{""coordinates"": [11.369531818209783, 44.46892637455142], ""type"": ""Point""}";Panchina in legno e metallo;2013-07-01;Savena;MONTE DONATO;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;BUONO
44.46885454664766, 11.369563857218676;"{""coordinates"": [11.369563857218676, 44.46885454664766], ""type"": ""Point""}";Panchina in legno e metallo;2013-07-01;Savena;MONTE DONATO;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;BUONO
44.46559874155547, 11.373630988928989;"{""coordinates"": [11.373630988928989, 44.46559874155547], ""type"": ""Point""}";Cestino in metallo;2013-07-11;Savena;VIA TOSCANA;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;BUONO
44.46951782094796, 11.379863612329652;"{""coordinates"": [11.379863612329652, 44.46951782094796], ""type"": ""Point""}";Cancellata, ringhiera;2013-07-15;Savena;CORELLI;LUNGO SAVENA;BUONO
44.4712420448241, 11.372323148634893;"{""coordinates"": [11.372323148634893, 44.4712420448241], ""type"": ""Point""}";Cestino in metallo;2013-07-18;Savena;VIA TOSCANA;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;BUONO
44.47210837087855, 11.370934347667054;"{""coordinates"": [11.370934347667054, 44.47210837087855], ""type"": ""Point""}";Panchina in legno e metallo;2013-07-18;Savena;VIA TOSCANA;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;BUONO
44.51902052043577, 11.273255513577963;"{""coordinates"": [11.273255513577963, 44.51902052043577], ""type"": ""Point""}";Dissuasore;2013-08-01;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.507336473210586, 11.278173465627173;"{""coordinates"": [11.278173465627173, 44.507336473210586], ""type"": ""Point""}";Panchina più tavolo;2013-08-04;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;DISCRETO
44.50734785789955, 11.278198834053608;"{""coordinates"": [11.278198834053608, 44.50734785789955], ""type"": ""Point""}";Panchina più tavolo;2013-08-04;Borgo Panigale - Reno;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO;DISCRETO
44.52766468085818, 11.36009507074255;"{""coordinates"": [11.36009507074255, 44.52766468085818], ""type"": ""Point""}";Tabelle (monitorie e indicative);2013-09-02;Navile;LA DOZZA;CORTICELLA - DOZZA;BUONO
44.527826727242335, 11.359951957405334;"{""coordinates"": [11.359951957405334, 44.527826727242335], ""type"": ""Point""}";Panchina in legno e metallo;2013-09-02;Navile;LA DOZZA;CORTICELLA - DOZZA;BUONO
44.463962821030805, 11.383037129551358;"{""coordinates"": [11.383037129551358, 44.463962821030805], ""type"": ""Point""}";Bacheche informative;2013-09-23;Savena;CORELLI;LUNGO SAVENA;BUONO
44.514446460914826, 11.277200420910118;"{""coordinates"": [11.277200420910118, 44.514446460914826], ""type"": ""Point""}";Panchina in legno e metallo;2013-10-01;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.51444775972205, 11.277179518339533;"{""coordinates"": [11.277179518339533, 44.51444775972205], ""type"": ""Point""}";Panchina in legno e metallo;2013-10-01;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.51465544460103, 11.276273061835568;"{""coordinates"": [11.276273061835568, 44.51465544460103], ""type"": ""Point""}";Panchina in legno e metallo;2013-10-01;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.51463963449077, 11.276225609498647;"{""coordinates"": [11.276225609498647, 44.51463963449077], ""type"": ""Point""}";Cestino in metallo;2013-10-01;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.51465417668539, 11.278591427249378;"{""coordinates"": [11.278591427249378, 44.51465417668539], ""type"": ""Point""}";Cestino in metallo;2013-10-01;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.51430058760337, 11.278279369904709;"{""coordinates"": [11.278279369904709, 44.51430058760337], ""type"": ""Point""}";Cestino in metallo;2013-10-01;Borgo Panigale - Reno;BORGO CENTRO;BORGO PANIGALE;BUONO
44.45629394516287, 11.349682795800744;"{""coordinates"": [11.349682795800744, 44.45629394516287], ""type"": ""Point""}";Panchina in legno e metallo;2013-10-10;Savena;MONTE DONATO;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;DISCRETO
44.449655234180895, 11.357461195639363;"{""coordinates"": [11.357461195639363, 44.449655234180895], ""type"": ""Point""}";Cestino in metallo;2013-10-17;Savena;MONTE DONATO;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;DISCRETO
