Geo Point;Geo Shape;Edizione bilancio partecipativo;Progetto;Quartiere;Luogo;Attuazione;Stato;Descrizione;Beneficiario;Importo;Link;area statistica;zona di prossimità
44.5159674469929, 11.28348105376785;"{""coordinates"": [[[11.2836191784109, 44.5158622038751], [11.2833429291248, 44.5160726901107]]], ""type"": ""MultiLineString""}";2017;Il sogno delle ciclabili del parco città campagna;Borgo Panigale - Reno;via Olmetola, via Galeazza, Parco delle Querce, via del Faggiolo, Via Sciesa, Via Panigale [..];realizzato;zona di intervento;Muoversi in bici tra Borgo Panigale, Villa Bernaroli e Bologna;Il progetto vede come beneficiari principali la cittadinanza con le sue realtà associative che frequentano l’area. In particolare si rivolge a nuclei familiari che frequentano il Parco Città Campagna nel fine settimana, orticoltori, consumatori [..];130000.0;;BORGO CENTRO;BORGO PANIGALE
44.509945683916875, 11.2818884926897;"{""coordinates"": [[[11.2812980667579, 44.5101002161148], [11.281440773555, 44.510071600265], [11.2823106451012, 44.5098284680119], [11.2824763508692, 44.5097806576562]]], ""type"": ""MultiLineString""}";2017;Il sogno delle ciclabili del parco città campagna;Borgo Panigale - Reno;via Olmetola, via Galeazza, Parco delle Querce, via del Faggiolo, Via Sciesa, Via Panigale [..];realizzato;zona di intervento;Muoversi in bici tra Borgo Panigale, Villa Bernaroli e Bologna;Il progetto vede come beneficiari principali la cittadinanza con le sue realtà associative che frequentano l’area. In particolare si rivolge a nuclei familiari che frequentano il Parco Città Campagna nel fine settimana, orticoltori, consumatori [..];130000.0;;TRIUMVIRATO-PIETRA;CASTELDEBOLE - PONTELUNGO
44.516229022519255, 11.283128343988023;"{""coordinates"": [[[11.2829055312016, 44.5163731969969], [11.2831050950184, 44.5162539006324], [11.2833429291248, 44.5160726901107]]], ""type"": ""MultiLineString""}";2017;Il sogno delle ciclabili del parco città campagna;Borgo Panigale - Reno;via Olmetola, via Galeazza, Parco delle Querce, via del Faggiolo, Via Sciesa, Via Panigale [..];realizzato;zona di intervento;Muoversi in bici tra Borgo Panigale, Villa Bernaroli e Bologna;Il progetto vede come beneficiari principali la cittadinanza con le sue realtà associative che frequentano l’area. In particolare si rivolge a nuclei familiari che frequentano il Parco Città Campagna nel fine settimana, orticoltori, consumatori [..];130000.0;;BORGO CENTRO;BORGO PANIGALE
44.50837760316693, 11.279163631067838;"{""coordinates"": [[[11.2788050294038, 44.5083253838179], [11.2788540844982, 44.5083604972149], [11.2789084724415, 44.5083690536312], [11.2790018456821, 44.5083641147426], [11.2792869861566, 44.5083194319345], [11.279469410794059, 44.508535882472586]]], ""type"": ""MultiLineString""}";2017;Il sogno delle ciclabili del parco città campagna;Borgo Panigale - Reno;via Olmetola, via Galeazza, Parco delle Querce, via del Faggiolo, Via Sciesa, Via Panigale [..];realizzato;zona di intervento;Muoversi in bici tra Borgo Panigale, Villa Bernaroli e Bologna;Il progetto vede come beneficiari principali la cittadinanza con le sue realtà associative che frequentano l’area. In particolare si rivolge a nuclei familiari che frequentano il Parco Città Campagna nel fine settimana, orticoltori, consumatori [..];130000.0;;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO
44.51287099493874, 11.283970956926904;"{""coordinates"": [[[11.2837316908889, 44.5117814451616], [11.2837365569776, 44.5118181966317], [11.2837433103188, 44.5118591468564], [11.2837514729115, 44.5119811952309], [11.283754761128, 44.5120498014797], [11.2837622388125, 44.5121138751409], [11.2837658796219, 44.512399283563], [11.2837750830873, 44.5124437005887], [11.2839532950755, 44.5128998942768], [11.2842712245956, 44.5137546062715], [11.2843067916578, 44.5138269140049], [11.2843608154224, 44.5139240683066]]], ""type"": ""MultiLineString""}";2017;Il sogno delle ciclabili del parco città campagna;Borgo Panigale - Reno;via Olmetola, via Galeazza, Parco delle Querce, via del Faggiolo, Via Sciesa, Via Panigale [..];realizzato;zona di intervento;Muoversi in bici tra Borgo Panigale, Villa Bernaroli e Bologna;Il progetto vede come beneficiari principali la cittadinanza con le sue realtà associative che frequentano l’area. In particolare si rivolge a nuclei familiari che frequentano il Parco Città Campagna nel fine settimana, orticoltori, consumatori [..];130000.0;;TRIUMVIRATO-PIETRA;CASTELDEBOLE - PONTELUNGO
44.502728171467766, 11.273948093157252;"{""coordinates"": [[[11.2737193146076, 44.5020091306249], [11.2737896845475, 44.502215993511], [11.2738640330646, 44.5024430234778], [11.2739296449624, 44.5026702345099], [11.2740245033975, 44.5029751181715], [11.2741237226808, 44.5032799327201], [11.2741564060386, 44.5034525931503]]], ""type"": ""MultiLineString""}";2017;Il sogno delle ciclabili del parco città campagna;Borgo Panigale - Reno;via Olmetola, via Galeazza, Parco delle Querce, via del Faggiolo, Via Sciesa, Via Panigale [..];realizzato;zona di intervento;Muoversi in bici tra Borgo Panigale, Villa Bernaroli e Bologna;Il progetto vede come beneficiari principali la cittadinanza con le sue realtà associative che frequentano l’area. In particolare si rivolge a nuclei familiari che frequentano il Parco Città Campagna nel fine settimana, orticoltori, consumatori [..];130000.0;;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO
44.50347988371012, 11.36113628534072;"{""coordinates"": [[[11.3600946822528, 44.5045146755476], [11.3605455749773, 44.5040629333001], [11.3611310161517, 44.5034871031073], [11.3621587225728, 44.5024643137049]], [[11.3621587226985, 44.5024643137023], [11.36218593606769, 44.50246529047256]]], ""type"": ""MultiLineString""}";2017;Riqualificazione via Amaseo e piazza Mickiewicz;San Donato - San Vitale;Via Amaseo e Piazza Mickiewicz (con futuro sviluppo sulle altre vie della zona);candidato al voto;;Nuovi arredi urbani e una pista ciclabile per la valorizzazione della via e delle due piazze;Residenti dell’area interessata e fruitori della zona per ragioni di studio o lavoro;130000.0;;VIA DEL LAVORO;SAN DONATO VECCHIO
44.51709165744436, 11.286070603260503;"{""coordinates"": [[[11.2718809183215, 44.5206577581693], [11.271301412114, 44.5197585572347]], [[11.28452096485, 44.5152310786046], [11.2843926972407, 44.5153190855858], [11.2843627173493, 44.5153401448324], [11.2836191784109, 44.5158622038751], [11.283763685906, 44.5158901783562], [11.2839047867685, 44.5159890998033], [11.2842022976377, 44.5161955642627], [11.2842846994717, 44.5162100723977], [11.2843917239856, 44.5162712661493], [11.2844979193933, 44.5163627129803], [11.2844914521389, 44.5164031578323], [11.2844745382704, 44.5164337345566], [11.2846171785097, 44.5166338737194], [11.2846740374521, 44.5166471265215], [11.2847341861126, 44.5166415954914], [11.2851465653302, 44.5165872127929], [11.2853905055215, 44.5165477404926], [11.2855942899995, 44.5165105161743], [11.2856190360123, 44.5165258560074], [11.2856517386672, 44.5166163516854], [11.285723801088, 44.5166835707532], [11.2858138425349, 44.5167220730109], [11.2861766090827, 44.5167881653051], [11.2862334692884, 44.5168013996725]], [[11.286232349491133, 44.51680091868405], [11.2864623794726, 44.5166442696487], [11.2865659760579, 44.5166605679989], [11.2866863767352, 44.5166683309029], [11.2867440168719, 44.5166794311466], [11.2868330680349, 44.516689873919], [11.2869191189628, 44.5166963056285], [11.2869761810214, 44.5166930800683], [11.2870157121625, 44.5166799983368], [11.287591167046, 44.516684273156], [11.2877195249524, 44.5167248480396], [11.2878846372837, 44.5167790742661], [11.2882988742586, 44.5169261462082], [11.288742764553, 44.5170596658642], [11.2890682936889, 44.5171509650938], [11.289464364142, 44.5172451536527], [11.2898966262935, 44.5173386142347], [11.2902897854586, 44.5174098385488], [11.290822015581, 44.5174868887725], [11.291165286335, 44.5175173597843], [11.2917056544488, 44.5175452561774], [11.2921885981076, 44.5175454979683], [11.2925582706712, 44.5175307508071]]], ""type"": ""MultiLineString""}";2017;Il sogno delle ciclabili del parco città campagna;Borgo Panigale - Reno;via Olmetola, via Galeazza, Parco delle Querce, via del Faggiolo, Via Sciesa, Via Panigale [..];realizzato;percorsi esistenti;Muoversi in bici tra Borgo Panigale, Villa Bernaroli e Bologna;Il progetto vede come beneficiari principali la cittadinanza con le sue realtà associative che frequentano l’area. In particolare si rivolge a nuclei familiari che frequentano il Parco Città Campagna nel fine settimana, orticoltori, consumatori [..];130000.0;;BORGO CENTRO;BORGO PANIGALE
44.502694344909855, 11.262924658910542;"{""coordinates"": [[[11.2568272370046, 44.5021662698759], [11.2569268011722, 44.502136894592], [11.2571849288644, 44.5020441795778], [11.2573685349942, 44.5019891839122], [11.2574650213604, 44.5019736792116], [11.2575852354371, 44.5019712985087], [11.2577226091707, 44.5019761310611], [11.2578835356271, 44.5019895536606], [11.2582800291616, 44.5020360074479], [11.2586425530509, 44.5020770223552], [11.2587568032778, 44.5020837718845], [11.2589067882854, 44.5020867925065], [11.2590923322235, 44.5020815317971], [11.2593537431192, 44.5020732251542], [11.259511812896, 44.5020670149056], [11.2598343914105, 44.5020574704695], [11.2600096344539, 44.5020584574031], [11.26012164416, 44.502062244034], [11.2601957034212, 44.5020667887762], [11.2602596699131, 44.5020836212415], [11.2603400541171, 44.5021952434046], [11.2604130195916, 44.5023229184411], [11.260578838095151, 44.50240095822006]], [[11.2611359257009, 44.5033186146107], [11.2611038829998, 44.5033049050734], [11.2610739115164, 44.5032706476914], [11.2607219976209, 44.5026892176876], [11.2606269253991, 44.5025270910839], [11.2605898042158, 44.5024560712012], [11.2605790795075, 44.5024009229321]], [[11.2622599887127, 44.5029738338164], [11.2612101951868, 44.5033130185273], [11.2611372554772, 44.5033183813659]], [[11.2687584201524, 44.5029765517801], [11.2684377858653, 44.5024742981313], [11.2682085009569, 44.502117268458], [11.2681130140283, 44.5020501286995], [11.2657164290087, 44.5028318905102], [11.2656375888961, 44.5028859928673], [11.2655544732811, 44.5029291460185], [11.2654822713982, 44.5029555098948], [11.2646829276224, 44.5032124664125], [11.2630272425956, 44.5037466955035], [11.2629549399445, 44.5037550001671], [11.2629174033452, 44.5037475815315], [11.2628822551883, 44.5037278059366], [11.2628514089401, 44.5036710199536], [11.2628007582551, 44.5036208039577], [11.262739129678, 44.5035831264118], [11.2626922121625, 44.5035553964664], [11.2623653579491, 44.5030310839209], [11.2623413444614, 44.5030028786004], [11.2623002313083, 44.5029770855676], [11.2622574506744, 44.5029701945974]]], ""type"": ""MultiLineString""}";2017;Il sogno delle ciclabili del parco città campagna;Borgo Panigale - Reno;via Olmetola, via Galeazza, Parco delle Querce, via del Faggiolo, Via Sciesa, Via Panigale [..];realizzato;percorsi esistenti principali;Muoversi in bici tra Borgo Panigale, Villa Bernaroli e Bologna;Il progetto vede come beneficiari principali la cittadinanza con le sue realtà associative che frequentano l’area. In particolare si rivolge a nuclei familiari che frequentano il Parco Città Campagna nel fine settimana, orticoltori, consumatori [..];130000.0;;RIGOSA;BORGO PANIGALE
44.50002109676045, 11.31627163940215;"{""coordinates"": [[[11.315092772885807, 44.500383564604725], [11.317450505918494, 44.49965862891618]]], ""type"": ""MultiLineString""}";2023;IC18 Athletics playground;Porto - Saragozza;Via Asiago (incrocio via Piave/via del Timavo);candidato al voto;;Nell’area di pertinenza scolastica di via Asiago e via del Timavo, si propone di realizzare interventi adeguati alle pratiche sportive e in particolare all’atletica leggera, rivolte agli studenti dell’IC18, degli istituti limitrofi, per i giovani;Studenti dell'IC 18 e degli istituti limitrofi, giovani e adolescenti del quartiere;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/ic18-athletics-playground;VIA VITTORIO VENETO;SAFFI
