Geo Point;Geo Shape;Edizione bilancio partecipativo;Progetto;Quartiere;Luogo;Attuazione;Stato;Descrizione;Beneficiario;Importo;Link;area statistica;zona di prossimità
44.48998593447177, 11.39817248601678;"{""coordinates"": [[11.39817248601678, 44.48998593447177]], ""type"": ""MultiPoint""}";2023;Case Go Green;San Donato - San Vitale;Casa di Quartiere Scipione dal Ferro, Casa di Quartiere Pilastro, Casa di Quartiere Ca’ Solare, Casa di Quartiere Ruozi, Casa di Quartiere Frassinetti, Casa di Quartiere Italicus, Casa Di Quartiere Croce del Biacco, Casa Di Quartiere Graf;candidato al voto;;Realizzare in ognuna delle otto Case di Quartiere del territorio una casetta dell’acqua polifunzionale e percorsi di sensibilizzazione ed educazione ambientale che permetteranno di generare un cambiamento duraturo e virtuoso sull’utilizzo dell’acqu;Cittadinanza in generale;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/case-go-green;CROCE DEL BIACCO;CROCE DEL BIACCO - ROVERI
44.504141680592475, 11.362166833544382;"{""coordinates"": [[11.357305632357628, 44.504032702584766], [11.367028034731138, 44.504250658600185]], ""type"": ""MultiPoint""}";2023;Case Go Green;San Donato - San Vitale;Casa di Quartiere Scipione dal Ferro, Casa di Quartiere Pilastro, Casa di Quartiere Ca’ Solare, Casa di Quartiere Ruozi, Casa di Quartiere Frassinetti, Casa di Quartiere Italicus, Casa Di Quartiere Croce del Biacco, Casa Di Quartiere Graf;candidato al voto;;Realizzare in ognuna delle otto Case di Quartiere del territorio una casetta dell’acqua polifunzionale e percorsi di sensibilizzazione ed educazione ambientale che permetteranno di generare un cambiamento duraturo e virtuoso sull’utilizzo dell’acqu;Cittadinanza in generale;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/case-go-green;VIA DEL LAVORO;SAN DONATO VECCHIO
44.487455939997425, 11.362131366732271;"{""coordinates"": [[11.361234434594726, 44.487623451223634], [11.363028298869814, 44.487288428771215]], ""type"": ""MultiPoint""}";2023;Giardini insieme: Trento e Trieste e Savioli;Santo Stefano;Giardino Caroli, Piazza Trento Trieste/ Giardino Savioli;candidato al voto;;Il progetto intende aumentare la dotazione di arredi, attrezzature ludiche con particolare attenzione ai bambini (anche con disabilità), attrezzature sportive fruibili anche da parte di persone anziane e aumentare le connessioni tra le due aree verdi;Bambini, famiglie, disabili, anziani;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/giardini-insieme-trento-e-trieste-e-savioli;MEZZOFANTI;MURRI
44.481370018504705, 11.337412816806033;"{""coordinates"": [[11.335804273534533, 44.47927533700943], [11.339021360077531, 44.48346469999997]], ""type"": ""MultiPoint""}";2023;San Mamolo gioca!;Santo Stefano;Via San Mamolo, Via Bellombra, Giardino Carlo Descovich, Giardino Norma Mascellani;candidato al voto;;Realizzare aree di aggregazione per gli adolescenti, interventi di pedonalità sicura e attività di valorizzazione del patrimonio storico-culturale, per permettere agli adolescenti di fruire di spazi di aggregazione sociale, culturale e sportiva;I cittadini, con particolare attenzione per adolescenti, famiglie e anzian;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/san-mamolo-gioca;OSSERVANZA;OSSERVANZA - PADERNO
44.48280414718403, 11.376834616445215;"{""coordinates"": [[11.376834616445215, 44.48280414718403]], ""type"": ""MultiPoint""}";2023;Case di Quartiere bene in comune;Savena;Case di Quartiere Gufo, Villa Mazzacorati, Villa Paradiso, Foscherara, San Rafel, Paleotto, Dacia;candidato al voto;;Il progetto propone una serie di interventi nelle Case di Quartiere del territorio, opere di sistemazione e ampliamento del verde, un percorso per far conoscere meglio le Case, giochi inclusivi, attività di educazione ambientale e culturale, ecc [..];Le comunità di tutto il quartiere;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/cdq-bene-in-comune;PONTEVECCHIO;PONTEVECCHIO - MAZZINI
44.46435693898242, 11.377178500782465;"{""coordinates"": [[11.3752519006017, 44.46363604974797], [11.37910510096323, 44.46507782821686]], ""type"": ""MultiPoint""}";2023;Case di Quartiere bene in comune;Savena;Case di Quartiere Gufo, Villa Mazzacorati, Villa Paradiso, Foscherara, San Rafel, Paleotto, Dacia;candidato al voto;;Il progetto propone una serie di interventi nelle Case di Quartiere del territorio, opere di sistemazione e ampliamento del verde, un percorso per far conoscere meglio le Case, giochi inclusivi, attività di educazione ambientale e culturale, ecc [..];Le comunità di tutto il quartiere;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/cdq-bene-in-comune;CORELLI;LUNGO SAVENA
44.4580000878629, 11.362545394944235;"{""coordinates"": [[11.35510950510979, 44.446325484656754], [11.369981284778678, 44.46967469106904]], ""type"": ""MultiPoint""}";2023;Case di Quartiere bene in comune;Savena;Case di Quartiere Gufo, Villa Mazzacorati, Villa Paradiso, Foscherara, San Rafel, Paleotto, Dacia;candidato al voto;;Il progetto propone una serie di interventi nelle Case di Quartiere del territorio, opere di sistemazione e ampliamento del verde, un percorso per far conoscere meglio le Case, giochi inclusivi, attività di educazione ambientale e culturale, ecc [..];Le comunità di tutto il quartiere;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/cdq-bene-in-comune;MONTE DONATO;VIA TOSCANA - S. RUFFILLO - MONTE DONATO
44.46681756201395, 11.385200865865164;"{""coordinates"": [[11.385200865865164, 44.46681756201395]], ""type"": ""MultiPoint""}";2023;Case di Quartiere bene in comune;Savena;Case di Quartiere Gufo, Villa Mazzacorati, Villa Paradiso, Foscherara, San Rafel, Paleotto, Dacia;candidato al voto;;Il progetto propone una serie di interventi nelle Case di Quartiere del territorio, opere di sistemazione e ampliamento del verde, un percorso per far conoscere meglio le Case, giochi inclusivi, attività di educazione ambientale e culturale, ecc [..];Le comunità di tutto il quartiere;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/cdq-bene-in-comune;VIA ARNO;PONTEVECCHIO - MAZZINI
44.488768108069806, 11.38530302534484;"{""coordinates"": [[11.384750981132076, 44.490507126083386], [11.385855069557605, 44.487029090056225]], ""type"": ""MultiPoint""}";2023;Fossolo Action Green;Savena;Parco Vittime della Uno Bianca, Bosco Tanari, via Bartolini;candidato al voto;;Mettere in sicurezza l’attraversamento ciclopedonale di Via Lenin (angolo via Carlo Marx), rigenerare il Parco Vittime della Uno Bianca, promuovere interventi di conservazione e protezione del bosco urbano e creare una nuova strada scolastica;Bambine/i, ragazze/i, adulti;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/fossolo-action-green;FOSSOLO;FOSSOLO - DUE MADONNE
44.46555857477478, 11.385856970978857;"{""coordinates"": [[11.385856970978857, 44.46555857477478]], ""type"": ""MultiPoint""}";2023;Tra parchi, borghi e corti lungo il Savena;Savena;Parco dei Cedri, Parco Lungosavena, Parco Paleotto e ARCI Benassi;vincitore;;Riqualificare le aree verdi e i punti di aggregazione al Parco dei Cedri, Parco del Paleotto e Parco del Lungosavena (in particolare Corte Bellaria), potenziando i collegamenti ciclopedonali e incentivando luoghi d’interesse come circolo ARCI Benassi;Tutte le persone, con particolare attenzione a famiglie, bambini, persone con disabilità;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/tra-parchi-borghi-e-corti-lungo-il-savena;OSPEDALE BELLARIA;LUNGO SAVENA
44.473180309447585, 11.379629456464048;"{""coordinates"": [[11.378572093324602, 44.47279093624337], [11.380686819603495, 44.4735696826518]], ""type"": ""MultiPoint""}";2023;Villaggio Portazza;Savena;Zona via Firenze, via Osoppo, via Padova, via Pieve di Cadore, via Vicenza, via Portazza, via Mazzoni;candidato al voto;;Si propone di realizzare interventi per collegare con percorsi ciclopedonali sicuri i parchi circostanti, inserire arredi urbani e organizzare attività educative, ludiche e di sensibilizzazione ambientale [..];Tutti le persone residenti nella zona compresa tra via Torino - Parco Lungosavena ed estensivamente del quartiere/San Lazzaro di Savena;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/villaggio-portazza;CAVEDONE;PONTEVECCHIO - MAZZINI
44.50762256317403, 11.27848652152945;"{""coordinates"": [[[11.2781680526405, 44.5069259553979], [11.2785656119588, 44.5075805601414], [11.2783970702116, 44.5076275889451], [11.2788050294038, 44.5083253838179]]], ""type"": ""MultiLineString""}";2017;Il sogno delle ciclabili del parco città campagna;Borgo Panigale - Reno;via Olmetola, via Galeazza, Parco delle Querce, via del Faggiolo, Via Sciesa, Via Panigale [..];realizzato;zona di intervento;Muoversi in bici tra Borgo Panigale, Villa Bernaroli e Bologna;Il progetto vede come beneficiari principali la cittadinanza con le sue realtà associative che frequentano l’area. In particolare si rivolge a nuclei familiari che frequentano il Parco Città Campagna nel fine settimana, orticoltori, consumatori [..];130000.0;;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO
44.509959469029496, 11.282581985770099;"{""coordinates"": [[[11.2824763508692, 44.5097806576562], [11.282687620671, 44.5101382804028]]], ""type"": ""MultiLineString""}";2017;Il sogno delle ciclabili del parco città campagna;Borgo Panigale - Reno;via Olmetola, via Galeazza, Parco delle Querce, via del Faggiolo, Via Sciesa, Via Panigale [..];realizzato;zona di intervento;Muoversi in bici tra Borgo Panigale, Villa Bernaroli e Bologna;Il progetto vede come beneficiari principali la cittadinanza con le sue realtà associative che frequentano l’area. In particolare si rivolge a nuclei familiari che frequentano il Parco Città Campagna nel fine settimana, orticoltori, consumatori [..];130000.0;;TRIUMVIRATO-PIETRA;CASTELDEBOLE - PONTELUNGO
44.502168307878335, 11.272003777756245;"{""coordinates"": [[[11.273713206480922, 44.50200958460665], [11.2725001976388, 44.5020997418612], [11.2722388994797, 44.502124164796], [11.2720469829048, 44.5021345680864], [11.2717725830347, 44.502159271246], [11.2715937789945, 44.5021693905327], [11.2714326793182, 44.5021853844968], [11.27128468034, 44.5022011046997], [11.2711632441671, 44.5022256370357], [11.2708648121364, 44.502307215278], [11.270320464278, 44.5024723681788]]], ""type"": ""MultiLineString""}";2017;Il sogno delle ciclabili del parco città campagna;Borgo Panigale - Reno;via Olmetola, via Galeazza, Parco delle Querce, via del Faggiolo, Via Sciesa, Via Panigale [..];realizzato;zona di intervento;Muoversi in bici tra Borgo Panigale, Villa Bernaroli e Bologna;Il progetto vede come beneficiari principali la cittadinanza con le sue realtà associative che frequentano l’area. In particolare si rivolge a nuclei familiari che frequentano il Parco Città Campagna nel fine settimana, orticoltori, consumatori [..];130000.0;;RIGOSA;BORGO PANIGALE
44.51064406961236, 11.283012801273049;"{""coordinates"": [[[11.2828091910824, 44.5103247408946], [11.2832164114637, 44.5109633983301]]], ""type"": ""MultiLineString""}";2017;Il sogno delle ciclabili del parco città campagna;Borgo Panigale - Reno;via Olmetola, via Galeazza, Parco delle Querce, via del Faggiolo, Via Sciesa, Via Panigale [..];realizzato;zona di intervento;Muoversi in bici tra Borgo Panigale, Villa Bernaroli e Bologna;Il progetto vede come beneficiari principali la cittadinanza con le sue realtà associative che frequentano l’area. In particolare si rivolge a nuclei familiari che frequentano il Parco Città Campagna nel fine settimana, orticoltori, consumatori [..];130000.0;;TRIUMVIRATO-PIETRA;CASTELDEBOLE - PONTELUNGO
44.54547810911013, 11.353985387622195;"{""coordinates"": [[[11.354719810719352, 44.544408571290816], [11.354501494125914, 44.54448842617746], [11.353963030898111, 44.54480286995054], [11.353750913717867, 44.54496953971856], [11.353631822340502, 44.54516520453627], [11.35364791072464, 44.54539672390424], [11.353827689964529, 44.54590212324947], [11.354172982050507, 44.54689389427452]]], ""type"": ""MultiLineString""}";2018;Salvaguardia e sicurezza pedonale;Navile;Via delle Fonti, via di Corticella;candidato al voto;;Miglioramento della viabilità e tutela del traffico pedonale in di via delle Fonti, Corticella, Arcoveggio;Residenti di via delle Fonti e via di Corticella;130000.0;;SAN SAVINO;CORTICELLA - DOZZA
44.50461179333979, 11.282135407695414;"{""coordinates"": [[[11.2748252389735, 44.5008351653966], [11.2750187587178, 44.5009578432044], [11.2753691387808, 44.5011816910157], [11.2756118233046, 44.5013392857816], [11.2757149633478, 44.5012505971491], [11.2762920393536, 44.5016172307833], [11.2767819371933, 44.5019297163024], [11.277540075505, 44.502411529239], [11.2781715668412, 44.5028103948718], [11.2782799075274, 44.5028788671552], [11.2786293457722, 44.50310394483], [11.27906440959, 44.5033843140893], [11.2796493990099, 44.5037580431936], [11.2800754108738, 44.5040303090478], [11.2802727256855, 44.5041661689402], [11.2803454260083, 44.5042162256632], [11.2805115244212, 44.5043288402265], [11.2805402306934, 44.5043503781296], [11.280812285977, 44.5045544953969], [11.2812038027243, 44.504863896841], [11.2813280225395, 44.50496342275], [11.2817547912193, 44.5053017454254], [11.2818537521962, 44.5053774279747], [11.2820674418923, 44.505540849692], [11.2821453149632, 44.5056089672283], [11.2823731513174, 44.5058157059323], [11.282393994527, 44.5058365959003], [11.2824652610325, 44.5059080213242], [11.2825288065799, 44.5059824737601], [11.2826293371778, 44.5061071706842], [11.282689794624, 44.5061882081319], [11.2827242604439, 44.5062411087067], [11.2827806444552, 44.5063276504582], [11.2828056890107, 44.5063711821183], [11.2829283965169, 44.5065844658472], [11.2830970517143, 44.5068776089313], [11.2831895645946, 44.5068599178034], [11.2832592066858, 44.506857027282], [11.2833227132761, 44.5068642310974], [11.2833550390219, 44.5068703027395], [11.2833885690099, 44.5068789241541], [11.2834524431768, 44.506903398462], [11.2834984154222, 44.5069294375064], [11.2835422877939, 44.506963308054], [11.2835679580816, 44.5069904569901], [11.2835911091638, 44.5070214846062], [11.2893663657802, 44.5052866859722], [11.2899029023812, 44.5051260021314]]], ""type"": ""MultiLineString""}";2017;Il sogno delle ciclabili del parco città campagna;Borgo Panigale - Reno;via Olmetola, via Galeazza, Parco delle Querce, via del Faggiolo, Via Sciesa, Via Panigale [..];realizzato;percorsi esistenti;Muoversi in bici tra Borgo Panigale, Villa Bernaroli e Bologna;Il progetto vede come beneficiari principali la cittadinanza con le sue realtà associative che frequentano l’area. In particolare si rivolge a nuclei familiari che frequentano il Parco Città Campagna nel fine settimana, orticoltori, consumatori [..];130000.0;;CASTELDEBOLE;CASTELDEBOLE - PONTELUNGO
44.509457214702, 11.280420615077967;"{""coordinates"": [[[11.2796197886183, 44.5087143088158], [11.2801573464567, 44.5093252407273], [11.2802057423109, 44.5093563053501], [11.280220555229, 44.5094117866364], [11.2802620527163, 44.5094504500686], [11.2811981966051, 44.5099751796749], [11.2812457965766, 44.5100121807905], [11.2812677672353, 44.510037082874], [11.281286450041, 44.5100713504372], [11.2812980667579, 44.5101002161148]]], ""type"": ""MultiLineString""}";2017;Il sogno delle ciclabili del parco città campagna;Borgo Panigale - Reno;via Olmetola, via Galeazza, Parco delle Querce, via del Faggiolo, Via Sciesa, Via Panigale [..];realizzato;percorsi esistenti principali;Muoversi in bici tra Borgo Panigale, Villa Bernaroli e Bologna;Il progetto vede come beneficiari principali la cittadinanza con le sue realtà associative che frequentano l’area. In particolare si rivolge a nuclei familiari che frequentano il Parco Città Campagna nel fine settimana, orticoltori, consumatori [..];130000.0;;TRIUMVIRATO-PIETRA;CASTELDEBOLE - PONTELUNGO
44.51949988013316, 11.276747596453712;"{""coordinates"": [[[11.2791774156849, 44.5181879999444], [11.277327098623, 44.5188481909838], [11.2763433585012, 44.5191884972854], [11.2761417510345, 44.5191342808294], [11.2758078141202, 44.5192726740255], [11.2755652970491, 44.5193730519275], [11.2751148010988, 44.5195282488856], [11.2750791623618, 44.5195984254888], [11.2745708727619, 44.5197735934966], [11.2744734691185, 44.5197350118534], [11.2728256730356, 44.5203056492785], [11.2727800300998, 44.5203464480904], [11.2718809183215, 44.5206577581693], [11.2723935091464, 44.5214323706297], [11.2730011782857, 44.5224078915616], [11.272994994032388, 44.52241005098196]], [[11.2818237356114, 44.5167577381739], [11.2815071961081, 44.5167996703052], [11.2811969949061, 44.5168515701246], [11.2811399707918, 44.5168740941625], [11.2810493821084, 44.5169408784126], [11.2809320398075, 44.5170780551728], [11.2807414051278, 44.5173223771353], [11.2802917849346, 44.5179028833273], [11.2796653331337, 44.5187071380394], [11.2795835846067, 44.5188123345001], [11.2794613957345, 44.5189780876124], [11.2786995318965, 44.5199819006197], [11.2786677050818, 44.52001725839], [11.2783150193436, 44.5204720971049], [11.2777844990551, 44.5211658447099], [11.2777330320147, 44.5212146724726], [11.2776994844697, 44.5212344676312], [11.2776462097983, 44.5212369065463], [11.2776153092424, 44.5212265986124], [11.2773740786314, 44.5208993389856]]], ""type"": ""MultiLineString""}";2017;Il sogno delle ciclabili del parco città campagna;Borgo Panigale - Reno;via Olmetola, via Galeazza, Parco delle Querce, via del Faggiolo, Via Sciesa, Via Panigale [..];realizzato;percorsi esistenti principali;Muoversi in bici tra Borgo Panigale, Villa Bernaroli e Bologna;Il progetto vede come beneficiari principali la cittadinanza con le sue realtà associative che frequentano l’area. In particolare si rivolge a nuclei familiari che frequentano il Parco Città Campagna nel fine settimana, orticoltori, consumatori [..];130000.0;;BORGO CENTRO;BORGO PANIGALE
44.50135103156326, 11.349965191435867;"{""coordinates"": [[[11.352695438406208, 44.502138751217565], [11.352100827287735, 44.50152478254017], [11.351441469084389, 44.50087506549865], [11.350878415569772, 44.50018628235316], [11.349541288706627, 44.50079059509233], [11.350120469468122, 44.501594409479985], [11.348710357663927, 44.501959201820846], [11.348754259118332, 44.50204893594599], [11.348726858326302, 44.50222665466367], [11.348680364623975, 44.50228734956553], [11.348185218622667, 44.50235727433714], [11.347582189399144, 44.50103071552925]]], ""type"": ""MultiLineString""}";2018;Museo a cielo aperto;Santo Stefano;Da via Stalingrado alla Piazza di Porta Mascarella, lungo via Mascarella, attraverso via Majorana in via del Borgo San Pietro fino a via Finelli e via del Pallone;candidato al voto;;Nuove immagini urbane da Stalingrado a Irnerio;I residenti, I turisti, i commercianti, gli studenti e l’associazionismo locale;130000.0;;IRNERIO-2;IRNERIO
44.49140887519987, 11.335634658034069;"{""coordinates"": [[[11.33443611071679, 44.490113335987154], [11.334724024044565, 44.49110402807801], [11.335028873450444, 44.49174434450049], [11.335401467168737, 44.49226384133812], [11.33558776402789, 44.4926444000384], [11.33562587020362, 44.492739539325434]], [[11.335882028384946, 44.48947602211948], [11.336042921126937, 44.48990492605737], [11.336169941712718, 44.4902552959477], [11.336263090142289, 44.4907204389295], [11.336415514845228, 44.49113725221625], [11.336466323079543, 44.49136680029058], [11.336466323079543, 44.49156010323137], [11.336288494259446, 44.49177756827396], [11.336161473673666, 44.492037317123234], [11.336059857205038, 44.492315186704495], [11.335898964463047, 44.492562851954524], [11.335670327408641, 44.492713866834706], [11.33562587020362, 44.49273953932544], [11.33562798721338, 44.49283467845729], [11.335805816033474, 44.49312462533042]]], ""type"": ""MultiLineString""}";2023;Fare spazio;Porto - Saragozza;Via dei Tessitori, via del Fossato (incrocio con Via Saragozza), via Nosadella;candidato al voto;;La proposta si concentra nell’area compresa tra via dei Tessitori, via Saragozza, via del Fossato e via Nosadella  e propone di realizzare interventi per incrementare il verde urbano e la sicurezza dei pedoni, per vivere lo spazio pubblico in sicurezza;Pedoni e studenti della zona;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/fare-spazio;MALPIGHI-2;MALPIGHI
44.5026134193223, 11.336934439100867;"{""coordinates"": [[[11.333896864308175, 44.50261015378013], [11.3345359586478, 44.50294014313041]], [[11.33601971006289, 44.50137895715561], [11.336256379245281, 44.50130328795798], [11.33683989119497, 44.50101516203737]], [[11.33683989119497, 44.50101516203737], [11.337031674842768, 44.50141970206749], [11.337101043396226, 44.50154775731946]], [[11.33683989119497, 44.50101516203737], [11.337239780503145, 44.50082307729925]], [[11.33880324481132, 44.5037437424763], [11.338170807704401, 44.50457937908736], [11.338543612735847, 44.504911731228226]]], ""type"": ""MultiLineString""}";2023;Il Porto Verde di Bologna;Porto - Saragozza;Giardino Graziella Fava, via Cairoli, Parco 11 settembre 2001, via Mura di Porta Lame, via Azzo Gardino, Casa di Quartiere Giorgio Costa, giardino Stefano Casagrande, giardino Lorusso, Casa di Quartiere Saffi, via dello Scalo;vincitore;;La proposta riguarda i parchi e i giardini della zona Marconi, in particolare quelli a ridosso delle mura storiche e interni alla Manifattura delle Arti, in connessione con altri spazi pubblici fuori delle mura[..];Cittadinanza: sia residenti che nuovi potenziali fruitori dello spazio;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/il-porto-verde-di-bologna;MARCONI-2;MARCONI
44.50244793764586, 11.327773200000003;"{""coordinates"": [[[11.327982603295638, 44.50309014575787], [11.327563796704366, 44.50180572953386]]], ""type"": ""MultiLineString""}";2023;Il Porto Verde di Bologna;Porto - Saragozza;Giardino Graziella Fava, via Cairoli, Parco 11 settembre 2001, via Mura di Porta Lame, via Azzo Gardino, Casa di Quartiere Giorgio Costa, giardino Stefano Casagrande, giardino Lorusso, Casa di Quartiere Saffi, via dello Scalo;vincitore;;La proposta riguarda i parchi e i giardini della zona Marconi, in particolare quelli a ridosso delle mura storiche e interni alla Manifattura delle Arti, in connessione con altri spazi pubblici fuori delle mura[..];Cittadinanza: sia residenti che nuovi potenziali fruitori dello spazio;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/il-porto-verde-di-bologna;ZANARDI;SAFFI
44.491355435359594, 11.315552986755977;"{""coordinates"": [[[11.31150350342204, 44.490249456451096], [11.312586623210462, 44.49191434360061], [11.314354489465403, 44.49202332546919], [11.315777427830177, 44.49209246404018], [11.316487298584892, 44.49207068406628], [11.32141777608492, 44.49086048397572]], [[11.315784091509428, 44.49023208305668], [11.312577154716976, 44.49099749032118], [11.312362564150938, 44.49104001265246], [11.31202875660377, 44.4910527693458]]], ""type"": ""MultiLineString""}";2023;Uniamo i giardini!;Porto - Saragozza;Piazza della Pace, Giardino Bandiera De Coubertin, Portico Meloncello-Saragozza, Villa Spada, via Bandiera, via XXI Aprile, via Curiel, via Turati e Giardino del Barone Rampante;candidato al voto;;Realizzare interventi di riqualificazione degli spazi per favorire lo svolgimento di eventi e iniziative culturali e percorsi volti al benessere e all’inclusione e permettere a cittadini e frequentatori di vivere meglio gli spazi verdi all’aperto;Cittadini, turisti, famiglie con minori e con particolare attenzione per le persone con fragilità;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/uniamo-i-giardini;XXI APRILE;SARAGOZZA - SAN LUCA
44.490281914784234, 11.321177395955159;"{""coordinates"": [[[11.321417771980315, 44.490860484983216], [11.321436007075475, 44.49085600912589], [11.320911452358493, 44.48969088235998]]], ""type"": ""MultiLineString""}";2023;Uniamo i giardini!;Porto - Saragozza;Piazza della Pace, Giardino Bandiera De Coubertin, Portico Meloncello-Saragozza, Villa Spada, via Bandiera, via XXI Aprile, via Curiel, via Turati e Giardino del Barone Rampante;candidato al voto;;Realizzare interventi di riqualificazione degli spazi per favorire lo svolgimento di eventi e iniziative culturali e percorsi volti al benessere e all’inclusione e permettere a cittadini e frequentatori di vivere meglio gli spazi verdi all’aperto;Cittadini, turisti, famiglie con minori e con particolare attenzione per le persone con fragilità;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/uniamo-i-giardini;SAN GIUSEPPE;SARAGOZZA - SAN LUCA
44.501562584737265, 11.34879057391678;"{""coordinates"": [[[11.3473598678216, 44.50058978913751], [11.348076986967392, 44.502159035562855], [11.348164440521748, 44.502316009860486], [11.348281045260892, 44.50236279019856], [11.348703737440285, 44.50228794163962], [11.34874163398048, 44.50221569189783], [11.34875912469135, 44.50205144035312], [11.348718313032682, 44.501951121935214], [11.350114654783917, 44.50159818685471], [11.350143805968704, 44.50159194939666]], [[11.350143805968704, 44.50159194939666], [11.350190447864362, 44.50165224479647], [11.350741405256825, 44.50141106282308], [11.350688933124209, 44.50134452968934], [11.350143805968704, 44.50159194939666]], [[11.347832117015194, 44.5003959044846], [11.348216912654367, 44.50118599340056], [11.348269384786981, 44.50123589339368], [11.348607538530498, 44.50194280537468], [11.348718313032682, 44.50195112193521]]], ""type"": ""MultiLineString""}";2023;Aria al Verde;Santo Stefano;Parco Montagnola, Strade quadrilatero fino a Orto Botanico, Il Pallone;candidato al voto;;Trasformare dei luoghi di transito in luoghi frequentati, conviviali, accoglienti e verdi, dove tutti i residenti e le residenti possano di nuovo sentirsi in un Borgo di qualità, attraverso piste ciclabili e la realizzazione di attività ludiche-cultura;Residenti in particolare bambini, adolescenti e anziani e frequentatori dell’area (turisti e studenti);;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/aria-al-verde;IRNERIO-2;IRNERIO
44.480097842736185, 11.394878102958614;"{""coordinates"": [[[11.393036837491477, 44.48096260348136], [11.393943414849975, 44.480687922534756], [11.395259814849982, 44.48027589869011], [11.39545230730281, 44.480178430258285], [11.395629276170732, 44.4798527959076], [11.396020470510361, 44.479677794383306], [11.395315699755638, 44.47871638424165]]], ""type"": ""MultiLineString""}";2023;"Sport a cielo aperto ""Due salti al Savena""";Savena;Giardino Peppino Impastato, via Carlo Carli;candidato al voto;;Il progetto propone di realizzare un percorso ludico-sportivo fruibile anche nelle ore serali per permettere alle persone di tutte le età di socializzare e stare in forma;Bambini, adolescenti, adulti e anziani;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/sport-a-cielo-aperto-due-salti-al-savena;DUE MADONNE;FOSSOLO - DUE MADONNE
44.46907702529512, 11.387880740700345;"{""coordinates"": [[[11.385543239622635, 44.469135056498736], [11.38849605471693, 44.46854639936168], [11.388597669811267, 44.468567727622485], [11.388848718867866, 44.469207571822295], [11.389099767924465, 44.46989859567984], [11.38981107358483, 44.46976209778846]]], ""type"": ""MultiLineString""}";2023;Villaggio Portazza;Savena;Zona via Firenze, via Osoppo, via Padova, via Pieve di Cadore, via Vicenza, via Portazza, via Mazzoni;candidato al voto;;Si propone di realizzare interventi per collegare con percorsi ciclopedonali sicuri i parchi circostanti, inserire arredi urbani e organizzare attività educative, ludiche e di sensibilizzazione ambientale (..);Tutti le persone residenti nella zona compresa tra via Torino - Parco Lungosavena ed estensivamente del quartiere/San Lazzaro di Savena;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/villaggio-portazza;VIA ARNO;PONTEVECCHIO - MAZZINI
44.48407847804274, 11.390981523248012;"{""coordinates"": [[11.390981523248012, 44.48407847804274]], ""type"": ""MultiPoint""}";2019/20;Fossolo BenEssere Insieme;Savena;Area verde tra Via Lincoln, Via Marx e la pista ciclabile Carlo Piazzi, (Giardino Dino Sarti);in corso di realizzazione;in progettazione;Nuova vita al Giardino Dino Sarti - i rivitalizzare quest’area della città caratterizzata dalla presenza di molti adolescenti ed anziani, favorendo l’aggregazione ed incentivando lo sviluppo della pratica sportiva e della vita all’aria aperta [..];Adolescenti e giovani (in particolare dai 12 anni in su) che già frequentano la zona, studenti, adulti, anziani e tutti coloro che amano lo sport e la vita all’aria aperta;136000.0;;FOSSOLO;FOSSOLO - DUE MADONNE
44.495444357309914, 11.285146224765297;"{""coordinates"": [[11.285146224765297, 44.495444357309914]], ""type"": ""MultiPoint""}";2019/20;ParCULT 23°;Borgo Panigale - Reno;Piazza Giovanni XXIII, Portico del Treno;in corso di realizzazione;in progettazione;Riqualificazione di piazza Giovanni XXIII per valorizzare la sua centralità e renderla viva e accogliente;Cittadinanza, cittadini locali del Treno della Barca, fruitori area verde e famiglie;136000.0;;VILLAGGIO DELLA BARCA;BARCA
